MONTH,AIRCRAFT FLOWN - DEPARTURES (IN NUMBER),AIRCRAFT FLOWN - HOURS (IN NUMBER),AIRCRAFT FLOWN - KILOMETRE (IN THOUSAND),PASSENGERS CARRIED (IN NUMBER),PASSENGER KMS.PERFORMED (IN THOUSAND),AVAILABLE SEAT KILOMETRE (IN THOUSAND),PAX.LOAD FACTOR# (IN %),CARGO CARRIED - FREIGHT (IN TONNE),CARGO CARRIED - MAIL (IN TONNE),CARGO CARRIED - TOTAL (IN TONNE),TONNE KILOMETRE PERFORMED - PASSENGER (IN THOUSAND),TONNE KILOMETRE PERFORMED - FREIGHT (IN THOUSAND),TONNE KILOMETRE PERFORMED - MAIL (IN THOUSAND),TONNE KILOMETRE PERFORMED - TOTAL (IN THOUSAND),AVAILABLE TONNE KILOMETRE (IN THOUSAND),WEIGHT LOAD FACTOR## (IN %)
JAN ,170,250,111,21843,12967,15467,83.8,0,0,0,972,0,0,972,1467,66.3
FEB ,226,330,151,28983,17334,21135,82,0,0,0,1300,0,0,1300,2091,62.2
MAR ,232,318,131,28786,16485,18847,87.5,0,0,0,1236,0,0,1236,1855,66.6
APR,181,248,98,23753,12720,14686,86.6,0,0,0,954,0,0,954,1405,67.9
MAY,185,255,101,24377,13581,15204,89.3,0,0,0,1019,0,0,1019,1461,69.7
JUNE,174,239,95,22738,12299,13996,87.9,0,0,0,922,0,0,922,1353,68.1
JULY,187,252,97,23804,12061,14342,84.1,0,0,0,905,0,0,905,1392,65
AUG,98,135,58,11470,6767,8069,83.9,0,0,0,507,0,0,507,839,60.4
SEP,121,152,60,14811,7076,8294,85.3,0,0,0,531,0,0,531,850,62.5
OCT,132,163,66,15712,7610,9548,79.7,0,0,0,571,0,0,571,928,61.5
NOV,128,160,66,15875,7818,9791,79.8,0,0,0,592,0,0,592,941,62.9
DEC,127,160,65,16478,8425,9512,88.6,0,0,0,587,0,0,587,938,62.6
TOTAL,1961,2662,1099,248630,135143,158891,85.1,0,0,0,10096,0,0,10096,15520,65.1
